ticker,cross_date,cross_price,pct_below,recovered,recovery_date,recovery_price,weeks_below,min_price_during,max_drawdown_episode,episode_return,annualized_return,current_price,unrealized_return,weeks_elapsed,sector,total_crosses,cross_number,spy_episode_return,excess_episode,beat_spy,abs_depth
CVX,2016-04-30,66.6,-0.13,True,2016-05-21,67.40547180175781,3.0,65.2424087524414,-2.038425296634516,1.209417119756484,23.16746720796188,,,,Energy,16,7,0.666837487598726,0.5425796321577581,True,0.13
CVX,2016-05-28,66.51,-0.39,True,2016-06-04,67.3790512084961,1.0,66.51,0.0,1.3066474342145362,96.41427836476998,,,,Energy,16,8,-1.7195941126328829,3.026241546847419,True,0.39
CVX,2016-07-30,66.41,-0.72,True,2016-08-06,67.49799346923828,1.0,66.41,0.0,1.638297649809184,132.80048707724077,,,,Energy,16,9,-0.10079629234289733,1.7390939421520812,True,0.72
CVX,2016-09-10,65.32,-2.55,True,2016-09-24,68.71662139892578,2.0,65.32,0.0,5.1999715231564325,273.5994074083888,,,,Energy,16,10,1.0985390606044865,4.101432462551946,True,2.55
CVX,2020-02-22,71.56,-11.94,True,2021-02-20,81.20404815673828,52.0,45.53081512451172,-36.37393079302444,13.476869978672834,13.476869978672834,,,,Energy,16,11,31.147901385913435,-17.6710314072406,False,11.94
CVX,2021-07-10,81.06,-0.32,True,2021-07-24,83.68582153320312,2.0,81.06,0.0,3.2393554567025973,129.0748426316504,,,,Energy,16,12,2.3407234922422804,0.8986319644603169,True,0.32
CVX,2021-08-14,77.51,-4.69,True,2021-08-21,82.17327880859375,1.0,77.51,0.0,6.016357642360659,1986.362281161499,,,,Energy,16,13,0.8013816274579533,5.214976014902706,True,4.69
CVX,2021-08-28,81.22,-0.16,True,2021-09-18,83.80609893798828,3.0,80.03231811523438,-1.4623022466949354,3.184066655981632,72.16799788688286,,,,Energy,16,14,-3.621685421502141,6.805752077483773,True,0.16
CVX,2025-04-05,129.79,-2.7,True,2025-05-10,135.98062133789062,5.0,129.79,0.0,4.769721348247646,62.349966708344425,,,,Energy,16,15,10.275115363847753,-5.505394015600107,False,2.7
CVX,2025-05-17,130.66,-3.09,True,2025-05-31,135.8062744140625,2.0,130.66,0.0,3.938676269755481,173.02770503564665,,,,Energy,16,16,2.01810455600846,1.9205717137470213,True,3.09
PG,2015-08-15,53.7,-0.22,True,2015-09-19,54.3203239440918,5.0,51.14347839355469,-4.760747870475446,1.1551656314558567,12.687535675358031,,,,Consumer Defensive,7,1,0.9760992794525025,0.1790663520033542,True,0.22
PG,2015-09-26,54.13,-0.01,True,2015-10-03,55.67329406738281,1.0,54.13,0.0,2.851088245673017,331.3823223418375,,,,Consumer Defensive,7,2,1.2437200734321197,1.6073681722408972,True,0.01
PG,2018-03-10,63.93,-0.57,True,2018-06-30,64.79463958740234,16.0,59.1738395690918,-7.439637777112784,1.3524786288164226,4.462812820703688,,,,Consumer Defensive,7,3,3.8104568795009675,-2.457978250684545,False,0.57
PG,2018-07-14,64.28,-0.51,True,2018-07-21,66.42969512939453,1.0,64.28,0.0,3.3442674694998957,453.2129568651982,,,,Consumer Defensive,7,4,-0.09941549339116396,3.4436829628910597,True,0.51
PG,2022-10-01,113.59,-0.5,True,2022-10-08,114.3277816772461,1.0,113.59,0.0,0.6495128772304737,40.02552878663283,,,,Consumer Defensive,7,5,3.742957805180791,-3.0934449279503173,False,0.5
PG,2025-11-01,145.94,-0.59,True,2025-11-15,149.85601806640625,2.0,145.94,0.0,2.683306883929193,99.06550506939892,,,,Consumer Defensive,7,6,-1.1683737548402129,3.851680638769406,True,0.59
PG,2025-11-29,142.44,-2.99,True,2026-01-17,149.09144592285156,7.0,140.79037475585938,-1.158119379486533,4.66964751674499,40.35889602916198,,,,Consumer Defensive,7,7,2.123614755247294,2.5460327614976963,True,2.99
HD,2020-03-14,131.6,-10.52,True,2020-03-21,164.81224060058594,1.0,131.6,0.0,25.23726489406226,12082095.665707525,,,,Consumer Cyclical,2,1,6.627870553737969,18.609394340324293,True,10.52
HD,2023-10-21,259.79,-2.82,True,2023-10-28,277.788818359375,1.0,259.79,0.0,6.928218314552126,3156.875706874238,,,,Consumer Cyclical,2,2,4.478713162912906,2.4495051516392197,True,2.82
BAC,2016-01-16,10.83,-2.23,True,2016-01-23,11.29331398010254,1.0,10.83,0.0,4.278060758102864,783.1474017498396,,,,Financial Services,12,1,-0.021042127702708413,4.299102885805572,True,2.23
BAC,2016-01-30,10.34,-6.92,True,2016-04-16,12.113954544067385,11.0,9.544211387634276,-7.696214819784553,17.15623350161879,111.38433715743146,,,,Financial Services,12,2,13.248933742515234,3.907299759103555,True,6.92
BAC,2016-04-30,11.31,-0.97,True,2016-05-14,11.640939712524414,2.0,11.127840995788574,-1.6106012750789267,2.926080570507628,111.67097663050862,,,,Financial Services,12,3,-0.2782198671618108,3.204300437669439,True,0.97
