ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category,market_cap,fcf_yield,yield_bucket
CMCSA,2024-03-30,35.68,37.57,-5.04,-6.75,2.28,-15.79,,-15.08,12961000000.0,12646000000.0,2.5,True,True,positive_growing,128034169765.92,10.123078880970684,very_strong (8-12%)
CMCSA,2024-12-07,35.63,37.33,-4.54,-10.5,-10.76,-29.21,,-30.62,12961000000.0,12646000000.0,2.5,True,True,positive_growing,127854749684.97002,10.13728471717749,very_strong (8-12%)
CRWD,2023-05-29,151.32,152.77,-0.95,6.55,55.32,107.29,211.51,-5.07,674570000.0,,,True,,positive_unknown_trend,38376884098.799995,1.75775083319256,low (0-3%)
CRWD,2023-06-19,143.65,153.61,-6.49,13.17,77.95,164.97,231.57,0.0,674570000.0,,,True,,positive_unknown_trend,36431664028.5,1.851603592611891,low (0-3%)
DELL,2022-09-19,32.9,34.11,-3.54,11.2,7.12,103.88,248.0,-3.8,7511000000.0,,,True,,positive_unknown_trend,10985895850.3,68.36948121800091,exceptional (>12%)
DELL,2023-03-06,34.62,35.49,-2.45,30.78,95.0,224.81,159.38,0.0,562000000.0,7511000000.0,-92.5,True,False,positive_declining,11560234478.339998,4.861493086952514,moderate (3-5%)
DUK,2023-05-20,79.72,80.42,-0.88,3.27,4.65,20.37,42.42,-0.9,-5440000000.0,,,False,,negative,61995921437.52,-8.774770781465806,deep_negative (<-5%)
DUK,2023-06-17,80.63,80.68,-0.06,5.2,10.44,16.28,39.48,-2.03,-5440000000.0,,,False,,negative,62703601925.579994,-8.67573764973898,deep_negative (<-5%)
DUK,2023-07-29,80.4,80.95,-0.68,2.06,10.03,33.07,48.99,-1.74,-5440000000.0,,,False,,negative,62524737626.4,-8.700556302219576,deep_negative (<-5%)
DUK,2023-08-26,79.92,81.12,-1.49,6.58,5.71,35.16,50.66,-1.15,-5440000000.0,,,False,,negative,62151455610.72,-8.7528118956263,deep_negative (<-5%)
DUK,2023-09-23,80.22,81.42,-1.48,11.22,12.1,37.04,50.75,-1.52,-5440000000.0,,,False,,negative,62384756870.52,-8.720078866846846,deep_negative (<-5%)
DUK,2023-11-04,80.23,81.71,-1.81,5.08,18.99,33.78,51.52,0.0,-5440000000.0,,,False,,negative,62392533579.18,-8.718991981783047,deep_negative (<-5%)
BSX,2026-03-07,69.13,70.75,-2.29,,,,,,3404000000.0,2365000000.0,43.9,True,True,positive_growing,102581001573.28,3.3183532504001834,moderate (3-5%)
ADBE,2024-04-06,474.09,479.7,-1.17,17.92,4.5,-25.65,,-26.37,6942000000.0,7396000000.0,-6.1,True,False,positive_declining,193256586454.62,3.592115605141407,moderate (3-5%)
ADBE,2024-05-18,475.43,480.91,-1.14,17.43,7.72,-14.25,,-26.63,6942000000.0,7396000000.0,-6.1,True,False,positive_declining,193802819924.74,3.581991223190564,moderate (3-5%)
ADBE,2024-10-19,483.72,486.38,-0.55,-9.99,-23.98,-26.92,,-31.1,6942000000.0,7396000000.0,-6.1,True,False,positive_declining,197182129974.96002,3.520603008437711,moderate (3-5%)
ADBE,2024-12-07,465.69,487.19,-4.41,-15.24,-15.89,-23.46,,-31.26,7873000000.0,6942000000.0,13.4,True,True,positive_growing,189832436343.42,4.147341809256032,moderate (3-5%)
WDC,2025-03-29,30.41,40.22,-24.39,116.78,331.26,,,,-781000000.0,-1229000000.0,36.5,False,True,negative_improving,10310143208.02,-7.575064518914536,deep_negative (<-5%)
CVS,2023-03-11,66.23,67.67,-2.13,-8.19,-3.14,7.67,-4.47,-10.24,13450000000.0,,,True,,positive_unknown_trend,84258538702.49,15.962773870896157,exceptional (>12%)
CVS,2023-04-08,66.52,68.14,-2.38,-3.66,-2.65,-4.94,0.65,-10.64,13450000000.0,,,True,,positive_unknown_trend,84627479910.76,15.893182703990568,exceptional (>12%)
CVS,2024-01-06,69.9,70.26,-0.52,-9.53,-21.48,-34.67,13.95,-39.63,10395000000.0,13450000000.0,-22.7,True,False,positive_declining,88927553303.70001,11.689290454781347,very_strong (8-12%)
CVS,2024-02-24,68.03,70.96,-4.14,-18.5,-20.85,-6.94,17.45,-37.97,10395000000.0,13450000000.0,-22.7,True,False,positive_declining,86548518615.89,12.010604186229843,exceptional (>12%)
CVS,2024-03-30,68.71,71.39,-3.76,-23.35,-11.57,-10.75,,-38.59,10395000000.0,13450000000.0,-22.7,True,False,positive_declining,87413622138.73,11.891739234306744,very_strong (8-12%)
EQIX,2024-04-27,670.47,684.2,-2.01,15.83,28.21,27.67,,0.0,436000000.0,685000000.0,-36.4,True,False,positive_declining,65876981576.16,0.6618396738410713,low (0-3%)
ICE,2023-02-18,98.6,98.95,-0.35,3.03,13.89,37.08,68.35,-6.95,3072000000.0,,,True,,positive_unknown_trend,55994596181.799995,5.486243690419713,strong (5-8%)
ICE,2023-10-21,101.92,102.99,-1.04,21.96,26.63,59.92,54.22,0.0,3072000000.0,,,True,,positive_unknown_trend,57880012604.96,5.307531670676842,strong (5-8%)
STX,2022-09-17,51.52,55.9,-7.83,-11.58,9.4,19.6,96.62,-11.58,1276000000.0,,,True,,positive_unknown_trend,11541787371.52,11.055480047644965,very_strong (8-12%)
STX,2023-03-04,56.47,58.12,-2.84,-0.27,8.25,56.44,52.87,-8.38,1276000000.0,,,True,,positive_unknown_trend,12650712982.72,10.08638803001007,very_strong (8-12%)
STX,2023-04-15,52.18,58.81,-11.28,6.82,20.79,51.83,43.62,-0.85,1276000000.0,,,True,,positive_unknown_trend,11689644119.68,10.915644539184912,very_strong (8-12%)
STX,2023-08-12,60.17,60.34,-0.28,19.18,38.62,63.52,155.17,-0.93,626000000.0,1276000000.0,-50.9,True,False,positive_declining,13479606873.92,4.644052351490821,moderate (3-5%)
STX,2023-09-09,59.61,60.66,-1.74,33.62,37.51,65.71,226.89,0.0,626000000.0,1276000000.0,-50.9,True,False,positive_declining,13354152663.36,4.687680422566728,moderate (3-5%)
