ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
MU,2023-06-24,62.33,62.74,-0.65,8.0,35.7,109.64,99.76,-3.9,3114000000.0,,,True,,positive_unknown_trend
MU,2023-08-12,62.92,63.43,-0.8,22.17,25.4,70.65,91.89,0.0,3114000000.0,,,True,,positive_unknown_trend
MU,2025-03-29,64.51,79.07,-18.41,89.2,190.87,,,,121000000.0,-6117000000.0,102.0,True,True,positive_growing
MA,2022-09-17,287.57,303.44,-5.23,17.23,20.16,37.86,69.89,-3.15,,,,,,unknown
ORCL,2016-01-02,29.71,30.59,-2.88,16.96,19.32,12.69,44.33,-1.12,,,,,,unknown
ORCL,2016-02-06,30.6,30.75,-0.51,11.87,16.47,16.53,38.54,0.0,,,,,,unknown
ORCL,2020-03-14,41.92,42.92,-2.33,19.73,32.06,47.61,84.74,0.0,,,,,,unknown
ORCL,2022-09-24,58.39,61.06,-4.38,34.53,53.51,76.33,184.75,0.0,5028000000.0,,,True,,positive_unknown_trend
NFLX,2022-01-15,39.75,42.26,-5.94,-45.78,-44.54,-13.84,21.5,-55.85,,,,,,unknown
NFLX,2023-08-12,40.45,41.27,-1.98,15.17,44.35,66.63,206.27,-12.08,1618528000.0,,,True,,positive_unknown_trend
NFLX,2023-09-09,39.69,41.54,-4.45,18.92,52.64,75.61,199.4,-10.39,1618528000.0,,,True,,positive_unknown_trend
ABBV,2019-07-02,53.48,53.68,-0.36,5.96,29.3,47.3,80.01,-8.01,,,,,,unknown
ABBV,2020-03-17,50.56,58.0,-12.83,53.06,41.89,72.97,173.59,0.0,,,,,,unknown
CVX,2014-12-06,63.23,65.41,-3.34,0.23,-0.51,-11.74,23.51,-24.53,,,,,,unknown
CVX,2015-01-10,64.92,65.74,-1.24,4.82,-9.62,-16.8,20.89,-26.5,,,,,,unknown
CVX,2015-01-24,63.32,65.8,-3.76,7.39,-11.99,-11.84,21.18,-24.64,,,,,,unknown
CVX,2015-02-28,64.58,66.01,-2.17,-0.92,-24.28,-10.98,19.7,-26.11,,,,,,unknown
CVX,2015-03-21,65.04,66.15,-1.68,-4.5,-23.8,-4.65,13.05,-26.63,,,,,,unknown
CVX,2015-05-16,66.07,66.58,-0.76,-27.77,-14.07,-1.25,9.76,-27.77,,,,,,unknown
CVX,2016-04-30,66.6,66.68,-0.13,-0.28,5.05,8.15,33.48,-2.03,,,,,,unknown
CVX,2016-05-28,66.51,66.77,-0.39,1.32,14.58,6.62,33.02,-1.78,,,,,,unknown
CVX,2016-07-30,66.41,66.89,-0.72,5.35,15.33,14.03,33.43,-1.63,,,,,,unknown
CVX,2016-09-10,65.32,67.03,-2.55,21.9,12.22,21.89,29.58,0.0,,,,,,unknown
CVX,2020-02-22,71.56,81.26,-11.94,-0.31,-5.57,13.48,67.05,-36.37,,,,,,unknown
CVX,2021-07-10,81.06,81.32,-0.32,12.64,34.06,45.78,68.5,-4.38,,,,,,unknown
CVX,2021-08-14,77.51,81.32,-4.69,20.27,45.05,74.66,84.62,0.0,,,,,,unknown
CVX,2021-08-28,81.22,81.35,-0.16,18.71,66.34,68.38,81.65,-1.46,,,,,,unknown
CVX,2025-04-05,129.79,133.39,-2.7,15.9,12.36,,,,15044000000.0,19780000000.0,-23.9,True,False,positive_declining
CVX,2025-05-17,130.66,134.83,-3.09,17.26,12.42,,,,15044000000.0,19780000000.0,-23.9,True,False,positive_declining
PG,2015-08-15,53.7,53.82,-0.22,6.49,15.87,25.69,37.31,-4.76,,,,,,unknown
PG,2015-09-26,54.13,54.14,-0.01,10.64,17.39,28.16,34.01,0.0,,,,,,unknown
PG,2018-03-10,63.93,64.29,-0.57,-1.11,7.83,34.33,53.49,-7.43,,,,,,unknown
PG,2018-07-14,64.28,64.61,-0.51,11.96,18.28,51.04,69.23,0.0,,,,,,unknown
PG,2022-10-01,113.59,114.16,-0.5,24.74,24.13,18.99,42.99,0.0,13567000000.0,,,True,,positive_unknown_trend
PG,2025-11-01,145.94,146.8,-0.59,9.06,,,,,14044000000.0,16524000000.0,-15.0,True,False,positive_declining
PG,2025-11-29,142.44,146.83,-2.99,7.86,,,,,14044000000.0,16524000000.0,-15.0,True,False,positive_declining
HD,2020-03-14,131.6,147.06,-10.52,63.08,82.91,94.41,133.87,0.0,,,,,,unknown
HD,2023-10-21,259.79,267.32,-2.82,29.38,22.75,48.04,46.9,0.0,11496000000.0,14005000000.0,-17.9,True,False,positive_declining
BAC,2016-01-16,10.83,11.08,-2.23,11.85,6.81,69.57,141.34,-11.87,,,,,,unknown
BAC,2016-01-30,10.34,11.11,-6.92,9.37,17.05,82.66,154.54,-7.72,,,,,,unknown
BAC,2016-04-30,11.31,11.42,-0.97,7.02,18.24,70.75,114.23,-7.55,,,,,,unknown
BAC,2016-06-04,11.13,11.56,-3.8,14.34,68.36,73.68,124.01,-6.0,,,,,,unknown
BAC,2020-03-07,20.87,21.88,-4.63,3.28,7.02,61.02,74.45,-18.58,,,,,,unknown
BAC,2020-06-06,21.55,22.44,-3.95,3.62,16.82,72.74,39.72,-6.58,,,,,,unknown
BAC,2020-08-15,21.73,22.87,-5.0,8.07,40.1,65.26,48.25,-5.31,,,,,,unknown
BAC,2020-09-05,22.33,23.0,-2.9,12.74,50.46,61.19,42.96,-7.88,,,,,,unknown
BAC,2022-09-17,28.99,29.04,-0.17,2.93,-13.41,-10.37,34.23,-13.57,,,,,,unknown
BAC,2022-12-10,29.14,29.59,-1.52,-11.67,-6.58,9.29,52.34,-18.78,,,,,,unknown
BAC,2023-03-04,28.0,30.0,-6.64,-2.53,-4.78,21.34,43.68,-15.49,-6327000000.0,,,False,,negative
BAC,2025-03-29,33.63,34.54,-2.62,43.12,48.94,,,,-8805000000.0,44982000000.0,-119.6,False,False,negative
KO,2020-03-14,31.92,36.6,-12.79,21.25,32.92,37.14,65.95,0.0,,,,,,unknown
KO,2020-05-09,36.05,36.8,-2.02,13.01,25.69,30.79,61.89,0.0,,,,,,unknown
KO,2020-06-20,36.64,36.98,-0.9,12.73,24.62,28.68,53.9,0.0,,,,,,unknown
KO,2023-09-30,49.35,49.44,-0.18,13.18,13.78,36.13,33.19,-0.47,9534000000.0,,,True,,positive_unknown_trend
CAT,2015-01-03,65.97,67.91,-2.85,-4.99,-4.72,-25.09,14.67,-23.94,,,,,,unknown
CAT,2015-05-23,65.28,66.93,-2.46,-10.16,-14.81,-12.0,33.8,-28.39,,,,,,unknown
CAT,2015-06-13,66.97,67.03,-0.09,-17.13,-24.08,-9.48,32.83,-30.19,,,,,,unknown
CAT,2020-03-07,88.36,103.93,-14.98,24.73,56.97,136.35,126.25,-4.15,,,,,,unknown
CAT,2020-04-11,103.14,104.93,-1.71,18.79,47.53,106.35,105.56,-6.35,,,,,,unknown
AMD,2022-09-17,67.96,70.86,-4.09,-5.06,44.13,41.55,129.47,-17.69,,,,,,unknown
AMD,2022-12-03,68.59,73.36,-6.51,20.53,82.13,87.96,102.06,-6.75,,,,,,unknown
AMD,2025-02-01,107.56,115.42,-6.81,-4.39,60.62,93.79,,-20.27,2405000000.0,1121000000.0,114.5,True,True,positive_growing
AMD,2025-05-17,110.31,116.79,-5.55,52.08,84.73,,,,2405000000.0,1121000000.0,114.5,True,True,positive_growing
GE,2017-07-01,115.92,115.93,-0.01,-5.8,-27.9,-45.21,-56.24,-48.79,,,,,,unknown
GE,2017-07-15,114.85,116.17,-1.13,-7.11,-36.18,-47.62,-57.77,-48.32,,,,,,unknown
GE,2022-04-23,45.52,50.5,-9.86,-0.74,5.33,70.8,252.42,-16.86,,,,,,unknown
GE,2022-12-03,49.85,49.86,-0.01,43.26,67.5,90.29,249.11,-4.67,,,,,,unknown
CSCO,2020-03-07,31.46,32.43,-2.98,20.87,7.8,34.26,54.47,-5.42,,,,,,unknown
CSCO,2020-09-05,33.92,34.28,-1.06,12.16,24.55,49.78,21.83,-9.15,,,,,,unknown
CSCO,2022-05-14,38.42,41.66,-7.78,14.43,13.34,18.33,19.63,-6.01,,,,,,unknown
CSCO,2022-08-20,41.43,41.89,-1.11,6.45,7.48,25.35,17.86,-12.84,12749000000.0,,,True,,positive_unknown_trend
CSCO,2024-05-18,44.29,44.72,-0.97,10.24,28.18,40.04,,-1.59,19037000000.0,12749000000.0,49.3,True,True,positive_growing
CSCO,2024-06-29,44.51,44.94,-0.96,14.04,28.23,53.17,,-1.69,19037000000.0,12749000000.0,49.3,True,True,positive_growing
CSCO,2024-07-27,44.9,45.19,-0.63,19.85,31.76,47.77,,-2.55,19037000000.0,12749000000.0,49.3,True,True,positive_growing
MRK,2017-11-11,40.79,40.93,-0.34,2.84,8.99,42.22,63.1,-1.66,,,,,,unknown
MRK,2018-02-03,40.9,41.3,-0.98,9.74,22.4,45.61,64.16,-1.9,,,,,,unknown
MRK,2018-02-17,40.9,41.34,-1.06,8.63,27.91,51.71,58.88,-1.9,,,,,,unknown
MRK,2018-03-17,40.16,41.4,-3.01,15.98,35.07,58.49,41.39,-0.09,,,,,,unknown
MRK,2025-02-01,84.12,91.75,-8.32,-12.21,-5.82,44.95,,-12.21,18096000000.0,9143000000.0,97.9,True,True,positive_growing
RTX,2015-08-15,45.73,46.47,-1.59,6.28,-4.53,19.77,29.75,-7.34,,,,,,unknown
RTX,2015-10-10,45.72,46.9,-2.51,-7.33,14.01,10.6,34.22,-7.33,,,,,,unknown
RTX,2015-11-28,47.37,47.39,-0.05,2.08,6.39,16.05,31.87,-10.55,,,,,,unknown
RTX,2015-12-26,47.54,47.57,-0.07,4.84,8.45,17.14,39.55,-10.87,,,,,,unknown
RTX,2016-10-15,49.82,50.54,-1.44,12.98,17.96,25.49,36.56,0.0,,,,,,unknown
RTX,2018-12-15,56.46,57.73,-2.2,18.57,22.65,43.97,10.45,-0.79,,,,,,unknown
RTX,2020-03-07,57.58,64.82,-11.17,-0.58,-7.07,21.93,54.07,-24.73,,,,,,unknown
RTX,2020-12-05,64.77,65.06,-0.44,8.39,23.33,21.07,41.33,-8.45,,,,,,unknown
RTX,2021-02-20,63.97,65.33,-2.08,24.73,20.8,39.6,45.06,0.0,,,,,,unknown
RTX,2023-09-09,71.93,76.63,-6.12,6.69,24.32,61.17,115.09,-7.96,4393000000.0,,,True,,positive_unknown_trend
RTX,2023-11-11,75.62,76.19,-0.76,15.06,32.58,52.56,130.5,0.0,4393000000.0,,,True,,positive_unknown_trend
AMAT,2015-08-15,13.6,14.09,-3.43,18.14,20.11,95.6,195.79,-5.13,,,,,,unknown
AMAT,2015-08-29,13.61,14.13,-3.69,24.35,27.39,98.78,201.81,-5.13,,,,,,unknown
AMAT,2016-01-09,14.3,14.65,-2.44,34.24,65.41,113.61,240.99,-0.12,,,,,,unknown
AMAT,2016-02-06,14.28,14.76,-3.23,22.77,70.9,123.56,207.11,0.0,,,,,,unknown
AMAT,2018-10-20,29.82,30.5,-2.21,21.79,39.5,75.72,94.9,-5.81,,,,,,unknown
AMAT,2018-12-08,30.26,30.89,-2.05,24.34,27.57,86.73,179.12,-7.17,,,,,,unknown
AMAT,2020-03-14,35.96,40.22,-10.58,61.08,48.88,206.04,262.6,0.0,,,,,,unknown
AMAT,2020-03-28,40.03,40.41,-0.96,44.85,38.68,238.81,207.17,0.0,,,,,,unknown
AMAT,2022-09-24,79.46,81.84,-2.92,19.15,50.64,70.6,154.43,-8.68,,,,,,unknown
AMAT,2025-03-29,125.82,143.12,-12.09,50.92,72.33,,,,7487000000.0,7594000000.0,-1.4,True,False,positive_declining
AMAT,2025-04-12,136.24,143.23,-4.88,38.94,64.61,,,,7487000000.0,7594000000.0,-1.4,True,False,positive_declining
LRCX,2022-09-17,36.7,37.66,-2.55,8.7,32.9,64.83,107.25,-17.24,2553640000.0,,,True,,positive_unknown_trend
LRCX,2025-03-29,58.66,63.5,-7.62,67.64,147.86,,,,4255599000.0,4677370000.0,-9.0,True,False,positive_declining
LRCX,2025-04-12,63.3,63.56,-0.41,58.27,122.93,,,,4255599000.0,4677370000.0,-9.0,True,False,positive_declining
PM,2015-03-07,44.98,45.11,-0.29,6.76,4.9,30.53,55.99,-1.11,,,,,,unknown
PM,2015-03-21,44.48,45.21,-1.62,7.28,7.59,33.47,59.52,0.0,,,,,,unknown
